% Model:              test_case_2.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 13 2020, 14:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
-1.5075075075075075       2.791957915110553E-6
-1.5035035035035036       2.8053317558480953E-6
-1.4994994994994992       2.8187151002926117E-6
-1.4954954954954955       2.8321078137126095E-6
-1.4914914914914914       2.8455097638196777E-6
-1.4874874874874875       2.858920820715529E-6
-1.4834834834834836       2.872340856840459E-6
-1.4794794794794794       2.885769746922977E-6
-1.4754754754754755       2.899207367930658E-6
-1.4714714714714714       2.9126535990222795E-6
-1.4674674674674675       2.9261083215011113E-6
-1.4634634634634636       2.9395714187692928E-6
-1.4594594594594594       2.9614653342487746E-6
-1.4554554554554553       2.976263134661055E-6
-1.4514514514514514       2.9910745680976173E-6
-1.4474474474474475       3.005899433030117E-6
-1.4434434434434436       3.020737531705413E-6
-1.4394394394394394       3.0355886700620625E-6
-1.4354354354354353       3.0504526576488962E-6
-1.4314314314314314       3.0653293075455805E-6
-1.4274274274274275       3.0802184362851593E-6
-1.4234234234234233       3.0951198637785334E-6
-1.4194194194194194       3.110033413240884E-6
-1.4154154154154153       3.1249589111195463E-6
-1.4114114114114114       3.1398961870241485E-6
-1.4074074074074074       3.1548450736580508E-6
-1.4034034034034033       3.173952982864687E-6
-1.3993993993993992       3.1913178789695077E-6
-1.3953953953953953       3.208692810579267E-6
-1.3913913913913913       3.226077615547021E-6
-1.3873873873873874       3.2434721351110432E-6
-1.3833833833833835       3.2608762138094446E-6
-1.3793793793793794       3.2782896993969984E-6
-1.3753753753753752       3.2957124427647726E-6
-1.3713713713713713       3.3131442978618795E-6
-1.3673673673673676       3.330585121619424E-6
-1.3633633633633635       3.3480347738768377E-6
-1.3593593593593596       3.365493117310204E-6
-1.3553553553553552       3.3750576155704676E-6
-1.3513513513513513       3.394430207001125E-6
-1.3473473473473474       3.4138168062736806E-6
-1.3433433433433435       3.4332171760908393E-6
